time,CHANNEL_1,CHANNEL_2,CHANNEL_3,CHANNEL_4
9.87,144,368,219,-267
9.88,170,415,239,-303
9.89,188,466,273,-338
9.9,196,502,300,-359
9.91,202,512,304,-368
9.92,202,508,299,-366
9.93,195,517,315,-367
9.94,164,507,336,-346
9.95,116,465,344,-301
9.96,67,408,336,-248
9.97,22,332,305,-187
9.98,-18,258,271,-131
9.99,-44,218,258,-97
10,-58,200,253,-82
10.01,-56,193,244,-79
10.02,-49,189,232,-80
10.03,-51,182,227,-75
10.04,-48,181,224,-77
10.05,-42,183,221,-81
10.06,-39,191,225,-87
10.07,-33,206,234,-98
10.08,-32,215,243,-102
10.09,-28,224,247,-109
10.1,-22,238,255,-118
10.11,-21,255,270,-128
10.12,-23,265,281,-131
10.13,-21,282,297,-141
10.14,-17,297,307,-151
10.15,-21,300,314,-150
10.16,-20,303,317,-152
10.17,-17,309,320,-157
10.18,-21,307,321,-154
10.19,-17,317,328,-160
10.2,-12,332,338,-171
10.21,-13,334,342,-172
10.22,-19,335,347,-169
10.23,-23,328,345,-163
10.24,-27,327,347,-160
10.25,-29,335,358,-164
10.26,-28,336,357,-165
10.27,-26,335,355,-165
10.28,-26,334,353,-165
10.29,-25,351,370,-173
10.3,-30,355,377,-173
10.31,-34,345,372,-166
10.32,-32,359,385,-174
10.33,-29,349,372,-171
10.34,-36,336,365,-161
10.35,-44,350,388,-163
10.36,-36,378,407,-182
10.37,-27,382,403,-188
10.38,-31,360,384,-175
10.39,-32,369,395,-179
10.4,-32,368,393,-179
10.41,-32,368,394,-179
10.42,-32,384,409,-187
10.43,-35,377,405,-182
10.44,-32,389,415,-189
10.45,-31,413,438,-202
10.46,-34,410,437,-198
10.47,-30,403,426,-197
10.48,-35,402,431,-194
10.49,-34,400,427,-194
10.5,-32,404,429,-197
10.51,-30,404,427,-197
10.52,-33,381,407,-185
10.53,-34,380,406,-184
10.54,-26,396,414,-195
10.55,-34,409,435,-198
10.56,-37,412,441,-198
10.57,-34,404,429,-195
10.58,-33,400,425,-195
10.59,-24,429,444,-213
10.6,-14,459,465,-234
10.61,-17,463,472,-234
10.62,-14,489,495,-248
10.63,0,524,515,-273
10.64,5,588,575,-307
10.65,21,634,605,-338
10.66,27,610,574,-329
10.67,19,587,560,-314
10.68,-1,503,496,-262
10.69,-38,383,413,-183
10.7,-53,335,381,-151
10.71,-50,332,374,-152
10.72,-49,329,369,-151
10.73,-40,313,347,-148
10.74,-28,305,326,-149
10.75,-21,341,354,-171
10.76,-31,342,365,-166
10.77,-35,326,353,-156
10.78,-34,326,351,-157
10.79,-57,368,417,-166
10.8,39,438,391,-250
10.81,364,861,490,-625
10.82,528,1088,550,-820
10.83,220,418,187,-329
10.84,-100,8,98,37
10.85,-99,33,125,23
10.86,-31,98,123,-44
10.87,-13,235,241,-122
10.88,-9,288,290,-150
10.89,-7,289,289,-151
10.9,-4,300,296,-159
10.91,3,325,315,-175
10.92,7,313,298,-170
10.93,11,326,308,-180
10.94,16,338,315,-187
10.95,18,333,309,-186
10.96,21,327,298,-185
10.97,26,327,292,-187
10.98,24,327,295,-186
10.99,35,342,300,-199
11,50,364,306,-218
11.01,52,367,308,-220
11.02,65,369,296,-228
11.03,88,404,308,-257
11.04,113,452,330,-294
11.05,136,479,334,-319
11.06,162,516,346,-350
11.07,187,552,356,-380
11.08,195,561,357,-389
11.09,210,576,358,-405
11.1,225,598,365,-423
11.11,212,593,373,-414
11.12,186,568,372,-387
11.13,151,525,366,-349
11.14,97,442,336,-280
11.15,49,367,310,-219
11.16,1,319,310,-171
11.17,-36,263,292,-124
11.18,-54,218,264,-93
11.19,-67,189,247,-72
11.2,-69,164,225,-57
11.21,-60,160,213,-61
11.22,-59,154,205,-58
11.23,-53,135,181,-52
11.24,-44,154,190,-65
11.25,-43,166,202,-72
11.26,-47,155,195,-64
11.27,-38,164,194,-73
11.28,-29,174,195,-83
11.29,-28,183,204,-88
11.3,-28,178,199,-86
11.31,-26,167,186,-82
11.32,-25,166,184,-81
11.33,-21,174,188,-87
11.34,-23,173,188,-85
11.35,-24,182,198,-90
11.36,-17,188,197,-96
11.37,-18,180,191,-92
11.38,-21,184,196,-92
11.39,-25,169,186,-83
11.4,-25,171,188,-84
11.41,-18,180,191,-92
11.42,-23,176,191,-87
11.43,-23,171,186,-85
11.44,-23,148,163,-73
11.45,-25,152,169,-74
11.46,-29,151,173,-72
11.47,-27,139,159,-66
11.48,-29,147,168,-69
11.49,-29,139,161,-66
11.5,-24,143,160,-70
11.51,-20,141,153,-71
11.52,-24,128,142,-63
11.53,-25,129,146,-62
11.54,-24,134,150,-66
11.55,-23,137,153,-67
11.56,-20,132,145,-66
11.57,-19,118,130,-59
11.58,-24,101,117,-49
11.59,-15,111,118,-58
11.6,-20,130,142,-65
11.61,-23,119,134,-58
11.62,-16,108,115,-56
11.63,-10,114,117,-62
11.64,-13,113,119,-60
11.65,-15,112,120,-59
11.66,-17,116,124,-60
11.67,-11,116,119,-63
11.68,-8,111,111,-62
11.69,-9,94,96,-53
11.7,-8,93,94,-52
11.71,-10,120,122,-66
11.72,-6,130,128,-72
11.73,3,111,100,-67
11.74,-5,108,105,-62
11.75,-3,116,113,-67
11.76,-2,115,109,-67
11.77,-2,112,107,-66
11.78,-3,120,116,-68
11.79,11,146,127,-89
11.8,14,176,154,-106
11.81,13,187,165,-111
11.82,16,204,181,-120
11.83,35,247,204,-152
11.84,46,314,261,-190
11.85,61,329,261,-205
11.86,57,305,240,-192
11.87,48,271,214,-170
11.88,20,158,130,-99
11.89,-15,49,57,-27
11.9,-26,26,45,-10
11.91,-19,23,35,-13
11.92,-25,19,37,-7
11.93,-12,23,27,-15
11.94,-15,27,34,-16
11.95,0,17,11,-19
11.96,-7,16,15,-15
11.97,3,16,6,-20
11.98,-30,58,80,-24
11.99,-2,94,88,-56
